timestamp,session_id,expected_clients,connected_clients,duration_sec,avg_sys_cpu_pct,avg_sys_mem_pct,avg_proc_cpu_pct,avg_proc_rss_mb,avg_net_rx_kbps,avg_net_tx_kbps,samples
2025-12-22T12:16:45,20251222-121615,1,1,30.0,8.09,29.09,6.66,108.8,25.47,2797.60,30
2025-12-22T12:17:56,20251222-121726,2,2,30.0,14.38,29.13,13.52,122.8,55.98,5466.04,30
2025-12-22T12:19:07,20251222-121837,3,3,30.0,25.57,29.35,24.88,145.2,68.82,8223.02,30
2025-12-22T12:20:18,20251222-121948,4,4,30.1,38.20,29.64,36.91,160.5,86.70,10642.27,30
2025-12-22T12:21:29,20251222-122059,5,5,30.1,45.48,29.68,44.33,162.6,109.92,13891.15,30
2025-12-22T12:22:39,20251222-122209,6,6,30.1,53.88,30.04,52.67,191.6,124.42,16820.75,30
2025-12-22T12:23:50,20251222-122320,7,7,30.1,60.77,30.52,59.43,199.3,144.30,19761.64,30
2025-12-22T12:25:01,20251222-122431,8,8,30.1,64.20,30.57,62.86,210.7,162.17,22578.50,30
2025-12-22T12:26:12,20251222-122542,9,9,30.1,66.15,30.80,64.96,242.8,184.44,25856.23,30
2025-12-22T12:27:23,20251222-122653,10,10,30.1,66.32,31.31,65.25,279.8,203.44,29131.99,30
2025-12-22T12:28:34,20251222-122804,11,11,30.1,65.96,31.25,64.78,277.6,226.16,32081.92,30
2025-12-22T12:29:45,20251222-122915,12,12,30.1,67.86,32.03,66.66,338.0,250.97,35351.44,30
2025-12-22T12:39:11,20251222-123840,13,13,30.2,68.71,30.93,67.47,363.3,286.81,38519.04,30
2025-12-22T12:55:27,20251222-125457,14,14,30.1,69.23,30.75,68.12,340.8,279.19,40473.70,30
2025-12-22T12:56:38,20251222-125608,15,15,30.1,69.63,31.65,68.37,395.6,308.23,42396.94,30
2025-12-22T12:57:49,20251222-125719,16,16,30.1,70.22,31.78,69.08,420.5,325.43,47659.20,30
2025-12-22T12:59:00,20251222-125830,17,17,30.2,71.31,32.13,69.99,443.4,346.09,51622.62,30
2025-12-22T13:00:12,20251222-125941,18,18,30.2,72.78,32.97,71.63,487.5,362.96,54497.92,30
2025-12-22T13:01:22,20251222-130052,19,19,30.2,73.43,32.49,72.05,458.8,374.78,53613.91,30
2025-12-22T13:02:33,20251222-130203,20,20,30.3,75.54,32.81,74.32,483.0,395.16,57551.66,30
2025-12-22T13:03:44,20251222-130314,21,21,30.3,79.29,33.46,78.08,544.2,404.77,59560.35,30
2025-12-22T13:04:56,20251222-130426,22,22,30.2,79.55,33.34,78.39,532.1,422.00,61886.53,30
2025-12-22T13:06:08,20251222-130537,23,23,31.0,91.65,34.00,90.32,589.8,498.68,73407.78,30
2025-12-22T13:07:19,20251222-130649,24,24,30.7,86.34,34.30,85.02,603.3,472.48,70377.06,30
2025-12-22T13:08:30,20251222-130759,25,25,30.9,86.75,34.36,85.25,601.0,484.48,69598.12,30
2025-12-22T13:09:42,20251222-130911,26,26,30.9,87.72,34.83,86.46,645.0,499.12,72476.46,30
2025-12-22T13:10:53,20251222-131022,27,27,30.5,94.87,35.69,93.52,703.1,538.82,76805.96,29
2025-12-22T13:12:04,20251222-131134,28,28,30.5,94.92,35.04,93.52,658.9,551.84,78500.40,29
2025-12-22T13:13:16,20251222-131245,29,29,30.8,95.01,35.74,93.68,706.5,563.10,80612.91,29
2025-12-22T13:14:28,20251222-131358,30,30,30.4,93.75,35.43,92.27,683.3,580.36,82448.24,29
